sporing_trafikk,sporing,spordybde,asfalt,veibredde,posisjon
2.204301075268817,4.1,1.2,A1,6.5,0.0
0.7526881720430109,1.4000000000000004,7.4,A1,6.5,19.7
0.8602150537634411,1.6000000000000005,6.1,A1,6.5,39.4
0.48387096774193517,0.8999999999999995,4.2,A1,6.5,59.2
0.9677419354838708,1.7999999999999998,4.5,A1,6.5,79.0
0.16129032258064505,0.2999999999999998,5.5,A1,6.5,98.2
0.4301075268817203,0.7999999999999998,2.7,A1,6.5,118.4
-0.3225806451612906,-0.6000000000000005,7.4,A1,6.5,176.6
0.4838709677419354,0.8999999999999999,3.9,A1,6.5,196.2
0.5913978494623658,1.1000000000000005,3.3,A1,6.5,216.1
0.6989247311827955,1.2999999999999998,4.4,A1,6.5,236.0
0.4301075268817203,0.7999999999999998,5.3,A1,6.5,255.8
0.2150537634408599,0.39999999999999947,4.2,A1,6.5,275.6
0.05376344086021504,0.09999999999999998,0.4,A1,6.5,295.4
1.3440860215053763,2.5,4.9,A1,5.4,315.3
0.8064516129032258,1.5,5.5,A1,5.4,335.1
0.913978494623656,1.7000000000000002,4.1,A1,5.4,354.9
1.0215053763440858,1.8999999999999995,3.7,A1,5.4,374.6
1.075268817204301,2.0,4.2,A1,5.4,394.5
0.9677419354838708,1.7999999999999998,4.2,A1,5.4,414.3
0.8602150537634411,1.6000000000000005,3.8,A1,5.4,434.2
0.5913978494623658,1.1000000000000005,4.8,A1,5.4,453.8
-0.10752688172043019,-0.20000000000000018,4.5,A1,5.4,473.7
-3.333333333333333,-6.2,8.4,A1,5.4,493.6
0.10752688172042996,0.19999999999999973,3.6,A1,5.4,513.2
0.3225806451612901,0.5999999999999996,2.7,A1,5.6,533.3
0.3333333333333333,0.5,6.7,A1,5.4,572.5
0.9333333333333336,1.4000000000000004,5.3,A1,5.4,592.2
1.5333333333333339,2.3000000000000007,4.6,A1,5.4,611.9
1.4666666666666668,2.2,4.5,A1,,631.7
1.4000000000000004,2.1000000000000005,4.1,A1,,651.4
1.4666666666666666,2.1999999999999997,3.9,A1,,671.3
1.3999999999999997,2.0999999999999996,4.0,A1,,691.1
1.4000000000000004,2.1000000000000005,5.1,A1,,711.0
1.3333333333333333,2.0,4.8,A1,,730.7
1.7333333333333336,2.6000000000000005,4.3,A1,,750.5
1.9333333333333333,2.9,3.6,A1,,770.3
1.6000000000000003,2.4000000000000004,4.0,A1,,790.1
1.6666666666666667,2.5,2.8,A1,,810.0
0.9333333333333336,1.4000000000000004,4.1,A1,,829.7
1.6000000000000003,2.4000000000000004,3.5,A1,,849.6
1.6666666666666667,2.5,4.4,A1,,869.4
1.7333333333333336,2.6000000000000005,4.1,A1,,889.1
1.5999999999999996,2.3999999999999995,3.2,A1,,909.1
1.866666666666667,2.8000000000000003,3.1,A1,,928.8
1.5999999999999999,2.4,3.4,A1,,948.7
1.8666666666666665,2.8,3.8,A1,3.3,968.3
2.0,3.0,2.7,A1,3.3,988.3
1.7333333333333334,2.6,3.6,A1,3.3,1008.2
1.7999999999999998,2.6999999999999997,3.4,A1,3.3,1028.0
1.3999999999999997,2.0999999999999996,5.0,A1,3.3,1047.9
0.5999999999999996,0.8999999999999995,5.2,A1,3.3,1067.8
0.3333333333333333,0.5,6.1,A1,3.3,1087.6
0.9333333333333336,1.4000000000000004,6.3,A1,3.3,1107.6
1.3333333333333333,2.0,5.8,A1,3.3,1127.3
1.8,2.7,7.2,A1,3.3,1147.3
2.266666666666667,3.4000000000000004,7.4,A1,3.3,1167.1
2.0,3.0,7.4,A1,3.3,1186.9
2.1333333333333333,3.2,7.8,A1,3.3,1206.7
2.266666666666667,3.4000000000000004,7.6,A1,3.3,1226.5
